,business_status,formatted_address,formatted_phone_number,rating,types,url,user_ratings_total,location,name
ChIJN-w6HUxNJ5UR_UgLNa18a9s,OPERATIONAL,"R. Hipólito Henrique Pfleger, 2993 - Rio Caveiras, Biguaçu - SC, 88160-000, Brazil",,0,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=15810868000175376637,,"{'lat': -27.5074257, 'lng': -48.6477248}",Box Top Pneus
ChIJuzZZH4tLJ5URSlAK9kJdrk0,OPERATIONAL,"Av. Lisboa, 01 01 - Forquilhas, São José - SC, 88107-300, Brazil",(48) 3090-0090,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=5597513929045200970,26,"{'lat': -27.5838739, 'lng': -48.66957960000001}",Pvl Auto Center e super troca de óleo Lisboa
ChIJ2SZaDXAQIZUR3LAunXd9x5U,OPERATIONAL,"Av. Felipe Schmidt, 2313 - Centro, Braço do Norte - SC, 88750-000, Brazil",(48) 3658-2669,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=10792732984708346076,41,"{'lat': -28.278382, 'lng': -49.1635715}",W K D Pneus
ChIJF2NIxVQ0J5UReeUeAGcZ_bQ,OPERATIONAL,"R. Edeling Schutz, 161 - Centro, Palhoça - SC, 88131-340, Brazil",(48) 3342-8784,0,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13041608026109175161,,"{'lat': -27.656436, 'lng': -48.674865}",Geane Espíndola da Silva
ChIJt922LId4IZUREePDaQpMiTI,OPERATIONAL,"Av. Centenário, 1220 - Pinheirinho, Criciúma - SC, 88804-000, Brazil",(48) 3437-0133,3.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=3641525381313585937,34,"{'lat': -28.690306, 'lng': -49.39042999999999}",Campneus
ChIJoVK1_IB4IZURWYCzJN5Aoco,OPERATIONAL,"Av. Centenário, 2413 - Operária Nova, Criciúma - SC, 88802-001, Brazil",(48) 2101-1250,4.2,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=14601022789754519641,178,"{'lat': -28.6812808, 'lng': -49.3816683}",DPaschoal
ChIJUc_ldzJ5IZURXSexO3GOJv4,OPERATIONAL,"SC-445, 444 - Zona Velha, Içara - SC, 88820-000, Brazil",(48) 3443-0606,4.7,"['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=18313481551732615005,37,"{'lat': -28.696139, 'lng': -49.314545}",DVA Pneus - Truck Center - Michelin - Içara
ChIJbUzMHYx4IZUR0N2afBnIEmE,OPERATIONAL,"Av. Centenário, 4081 - São Cristóvão, Criciúma - SC, 88801-001, Brazil",(48) 3413-9310,4.1,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6994873183050063312,62,"{'lat': -28.6810703, 'lng': -49.3623313}",Bellenzier Pneus
ChIJDw_CrGYvIpUR5tjFNc-P_fA,OPERATIONAL,"Rodovia, R. Gov. Jorge Lacerda, 1095 - Alto Feliz, Araranguá - SC, 88905-090, Brazil",(48) 3524-7715,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=17365193858333661414,47,"{'lat': -28.9483455, 'lng': -49.487396}",Kurt Pneus - Revenda Michelin
ChIJBZk1WY-CIZUR_v0UksKtQfM,OPERATIONAL,"1006, R. Araranguá, 846 - Centro, Criciúma - SC, 88801-510, Brazil",(48) 3431-8400,4.3,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=17528482275888791038,20,"{'lat': -28.6768191, 'lng': -49.3757095}",JK Pneus
ChIJn--iH5d-IZURG07_HmUs8K0,OPERATIONAL,"SC-445, 6080 - km 5 - Centro, Içara - SC, 88820-000, Brazil",(48) 3432-5808,4.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=12533566575795457563,25,"{'lat': -28.7156448, 'lng': -49.29672619999999}",Içara Pneus Auto Center
